run_id,round,case,index_state,selector,update_iters,elapsed_s,descriptors_recomputed,modules_repatched,sites_patched,status
20260719_091413,4,I-02-index-on-func,on,"func=bench_log_0 -p",10000,0.441427,20000,0,0,pass
20260719_091413,5,I-02-index-on-func,on,"func=bench_log_0 -p",10000,0.442159,20000,0,0,pass
20260719_091413,6,I-02-index-on-func,on,"func=bench_log_0 -p",10000,0.445165,20000,0,0,pass
20260719_091413,7,I-02-index-on-func,on,"func=bench_log_0 -p",10000,0.447179,20000,0,0,pass
20260719_091413,8,I-02-index-on-func,on,"func=bench_log_0 -p",10000,0.440457,20000,0,0,pass
20260719_091413,9,I-02-index-on-func,on,"func=bench_log_0 -p",10000,0.458908,20000,0,0,pass
20260719_091413,10,I-02-index-on-func,on,"func=bench_log_0 -p",10000,0.468578,20000,0,0,pass
20260719_091413,1,I-02-index-off-func,off,"func=bench_log_0 -p",10000,0.520261,20000,0,0,pass
20260719_091413,2,I-02-index-off-func,off,"func=bench_log_0 -p",10000,0.519940,20000,0,0,pass
20260719_091413,3,I-02-index-off-func,off,"func=bench_log_0 -p",10000,0.532380,20000,0,0,pass
20260719_091413,4,I-02-index-off-func,off,"func=bench_log_0 -p",10000,0.544534,20000,0,0,pass
20260719_091413,5,I-02-index-off-func,off,"func=bench_log_0 -p",10000,0.535373,20000,0,0,pass
20260719_091413,6,I-02-index-off-func,off,"func=bench_log_0 -p",10000,0.520853,20000,0,0,pass
20260719_091413,7,I-02-index-off-func,off,"func=bench_log_0 -p",10000,0.522015,20000,0,0,pass
20260719_091413,8,I-02-index-off-func,off,"func=bench_log_0 -p",10000,0.546120,20000,0,0,pass
20260719_091413,9,I-02-index-off-func,off,"func=bench_log_0 -p",10000,0.532841,20000,0,0,pass
20260719_091413,10,I-02-index-off-func,off,"func=bench_log_0 -p",10000,0.520268,20000,0,0,pass
20260719_091413,1,I-02-index-on-module,on,"module=dyndbg_bench -p",10000,0.428016,1300000,0,0,pass
20260719_091413,2,I-02-index-on-module,on,"module=dyndbg_bench -p",10000,0.426887,1300000,0,0,pass
20260719_091413,3,I-02-index-on-module,on,"module=dyndbg_bench -p",10000,0.441075,1300000,0,0,pass
20260719_091413,4,I-02-index-on-module,on,"module=dyndbg_bench -p",10000,0.460468,1300000,0,0,pass
20260719_091413,5,I-02-index-on-module,on,"module=dyndbg_bench -p",10000,0.427574,1300000,0,0,pass
20260719_091413,6,I-02-index-on-module,on,"module=dyndbg_bench -p",10000,0.429066,1300000,0,0,pass
20260719_091413,7,I-02-index-on-module,on,"module=dyndbg_bench -p",10000,0.427823,1300000,0,0,pass
20260719_091413,8,I-02-index-on-module,on,"module=dyndbg_bench -p",10000,0.427151,1300000,0,0,pass
20260719_091413,9,I-02-index-on-module,on,"module=dyndbg_bench -p",10000,0.432331,1300000,0,0,pass
20260719_091413,10,I-02-index-on-module,on,"module=dyndbg_bench -p",10000,0.427471,1300000,0,0,pass
20260719_091413,1,I-02-index-off-module,off,"module=dyndbg_bench -p",10000,0.546955,1300000,0,0,pass
20260719_091413,2,I-02-index-off-module,off,"module=dyndbg_bench -p",10000,0.574734,1300000,0,0,pass
20260719_091413,3,I-02-index-off-module,off,"module=dyndbg_bench -p",10000,0.553486,1300000,0,0,pass
20260719_091413,4,I-02-index-off-module,off,"module=dyndbg_bench -p",10000,0.552787,1300000,0,0,pass
20260719_091413,5,I-02-index-off-module,off,"module=dyndbg_bench -p",10000,0.537193,1300000,0,0,pass
20260719_091413,6,I-02-index-off-module,off,"module=dyndbg_bench -p",10000,0.539048,1300000,0,0,pass
20260719_091413,7,I-02-index-off-module,off,"module=dyndbg_bench -p",10000,0.569672,1300000,0,0,pass
20260719_091413,8,I-02-index-off-module,off,"module=dyndbg_bench -p",10000,0.558541,1300000,0,0,pass
20260719_091413,9,I-02-index-off-module,off,"module=dyndbg_bench -p",10000,0.552189,1300000,0,0,pass
20260719_091413,10,I-02-index-off-module,off,"module=dyndbg_bench -p",10000,0.552662,1300000,0,0,pass
