run_id,round,case,index_state,selector,update_iters,elapsed_s,descriptors_recomputed,modules_repatched,sites_patched,status
20260811_120340,1,I-02-full-recompute,off,"module=bench_m0 -p",1000,0.434045,2438000,0,0,pass
20260811_120340,2,I-02-full-recompute,off,"module=bench_m0 -p",1000,0.425131,2438000,0,0,pass
20260811_120340,3,I-02-full-recompute,off,"module=bench_m0 -p",1000,0.437934,2438000,0,0,pass
20260811_120340,4,I-02-full-recompute,off,"module=bench_m0 -p",1000,0.434477,2438000,0,0,pass
20260811_120340,5,I-02-full-recompute,off,"module=bench_m0 -p",1000,0.425867,2438000,0,0,pass
20260811_120340,6,I-02-full-recompute,off,"module=bench_m0 -p",1000,0.430248,2438000,0,0,pass
20260811_120340,7,I-02-full-recompute,off,"module=bench_m0 -p",1000,0.442303,2438000,0,0,pass
20260811_120340,8,I-02-full-recompute,off,"module=bench_m0 -p",1000,0.439089,2438000,0,0,pass
20260811_120340,9,I-02-full-recompute,off,"module=bench_m0 -p",1000,0.415004,2438000,0,0,pass
20260811_120340,10,I-02-full-recompute,off,"module=bench_m0 -p",1000,0.416138,2438000,0,0,pass
20260811_120340,1,I-02-index-on-line,on,"line=19 -p",1000,0.011661,12000,0,0,pass
20260811_120340,2,I-02-index-on-line,on,"line=19 -p",1000,0.011213,12000,0,0,pass
20260811_120340,3,I-02-index-on-line,on,"line=19 -p",1000,0.011402,12000,0,0,pass
20260811_120340,4,I-02-index-on-line,on,"line=19 -p",1000,0.011478,12000,0,0,pass
20260811_120340,5,I-02-index-on-line,on,"line=19 -p",1000,0.011311,12000,0,0,pass
20260811_120340,6,I-02-index-on-line,on,"line=19 -p",1000,0.011313,12000,0,0,pass
20260811_120340,7,I-02-index-on-line,on,"line=19 -p",1000,0.011988,12000,0,0,pass
20260811_120340,8,I-02-index-on-line,on,"line=19 -p",1000,0.011715,12000,0,0,pass
20260811_120340,9,I-02-index-on-line,on,"line=19 -p",1000,0.011429,12000,0,0,pass
20260811_120340,10,I-02-index-on-line,on,"line=19 -p",1000,0.011616,12000,0,0,pass
20260811_120340,1,I-02-index-off-line,off,"line=19 -p",1000,0.176128,12000,0,0,pass
20260811_120340,2,I-02-index-off-line,off,"line=19 -p",1000,0.172359,12000,0,0,pass
20260811_120340,3,I-02-index-off-line,off,"line=19 -p",1000,0.166449,12000,0,0,pass
20260811_120340,4,I-02-index-off-line,off,"line=19 -p",1000,0.169983,12000,0,0,pass
20260811_120340,5,I-02-index-off-line,off,"line=19 -p",1000,0.173721,12000,0,0,pass
20260811_120340,6,I-02-index-off-line,off,"line=19 -p",1000,0.174066,12000,0,0,pass
20260811_120340,7,I-02-index-off-line,off,"line=19 -p",1000,0.174434,12000,0,0,pass
20260811_120340,8,I-02-index-off-line,off,"line=19 -p",1000,0.172888,12000,0,0,pass
20260811_120340,9,I-02-index-off-line,off,"line=19 -p",1000,0.174749,12000,0,0,pass
20260811_120340,10,I-02-index-off-line,off,"line=19 -p",1000,0.173409,12000,0,0,pass
20260811_120340,1,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,0.237919,2000000,0,0,pass
20260811_120340,2,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,0.235496,2000000,0,0,pass
20260811_120340,3,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,0.219803,2000000,0,0,pass
20260811_120340,4,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,0.220213,2000000,0,0,pass
20260811_120340,5,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,0.218481,2000000,0,0,pass
20260811_120340,6,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,0.225525,2000000,0,0,pass
20260811_120340,7,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,0.234181,2000000,0,0,pass
20260811_120340,8,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,0.235788,2000000,0,0,pass
20260811_120340,9,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,0.233753,2000000,0,0,pass
20260811_120340,10,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,0.225407,2000000,0,0,pass
20260811_120340,1,I-02-index-off-file,off,"file=bench_sites.rs -p",1000,1.119817,2000000,0,0,pass
20260811_120340,2,I-02-index-off-file,off,"file=bench_sites.rs -p",1000,1.114155,2000000,0,0,pass
20260811_120340,3,I-02-index-off-file,off,"file=bench_sites.rs -p",1000,1.099281,2000000,0,0,pass
20260811_120340,4,I-02-index-off-file,off,"file=bench_sites.rs -p",1000,1.084242,2000000,0,0,pass
20260811_120340,5,I-02-index-off-file,off,"file=bench_sites.rs -p",1000,1.065977,2000000,0,0,pass
20260811_120340,6,I-02-index-off-file,off,"file=bench_sites.rs -p",1000,1.093987,2000000,0,0,pass
20260811_120340,7,I-02-index-off-file,off,"file=bench_sites.rs -p",1000,1.122225,2000000,0,0,pass
20260811_120340,8,I-02-index-off-file,off,"file=bench_sites.rs -p",1000,1.152357,2000000,0,0,pass
20260811_120340,9,I-02-index-off-file,off,"file=bench_sites.rs -p",1000,1.145866,2000000,0,0,pass
20260811_120340,10,I-02-index-off-file,off,"file=bench_sites.rs -p",1000,1.137457,2000000,0,0,pass
20260811_120340,1,I-02-index-on-func,on,"func=bench_log_0 -p",1000,0.011398,2000,0,0,pass
20260811_120340,2,I-02-index-on-func,on,"func=bench_log_0 -p",1000,0.011238,2000,0,0,pass
20260811_120340,3,I-02-index-on-func,on,"func=bench_log_0 -p",1000,0.011177,2000,0,0,pass
20260811_120340,4,I-02-index-on-func,on,"func=bench_log_0 -p",1000,0.011296,2000,0,0,pass
20260811_120340,5,I-02-index-on-func,on,"func=bench_log_0 -p",1000,0.011230,2000,0,0,pass
20260811_120340,6,I-02-index-on-func,on,"func=bench_log_0 -p",1000,0.011303,2000,0,0,pass
20260811_120340,7,I-02-index-on-func,on,"func=bench_log_0 -p",1000,0.011338,2000,0,0,pass
20260811_120340,8,I-02-index-on-func,on,"func=bench_log_0 -p",1000,0.011257,2000,0,0,pass
20260811_120340,9,I-02-index-on-func,on,"func=bench_log_0 -p",1000,0.011333,2000,0,0,pass
20260811_120340,10,I-02-index-on-func,on,"func=bench_log_0 -p",1000,0.011185,2000,0,0,pass
20260811_120340,1,I-02-index-off-func,off,"func=bench_log_0 -p",1000,0.202114,2000,0,0,pass
20260811_120340,2,I-02-index-off-func,off,"func=bench_log_0 -p",1000,0.204609,2000,0,0,pass
20260811_120340,3,I-02-index-off-func,off,"func=bench_log_0 -p",1000,0.194012,2000,0,0,pass
20260811_120340,4,I-02-index-off-func,off,"func=bench_log_0 -p",1000,0.198773,2000,0,0,pass
20260811_120340,5,I-02-index-off-func,off,"func=bench_log_0 -p",1000,0.194175,2000,0,0,pass
20260811_120340,6,I-02-index-off-func,off,"func=bench_log_0 -p",1000,0.198311,2000,0,0,pass
20260811_120340,7,I-02-index-off-func,off,"func=bench_log_0 -p",1000,0.196396,2000,0,0,pass
20260811_120340,8,I-02-index-off-func,off,"func=bench_log_0 -p",1000,0.195946,2000,0,0,pass
20260811_120340,9,I-02-index-off-func,off,"func=bench_log_0 -p",1000,0.198262,2000,0,0,pass
20260811_120340,10,I-02-index-off-func,off,"func=bench_log_0 -p",1000,0.195183,2000,0,0,pass
20260811_120340,1,I-02-index-on-module,on,"module=bench_m0 -p",1000,0.011902,4000,0,0,pass
20260811_120340,2,I-02-index-on-module,on,"module=bench_m0 -p",1000,0.011299,4000,0,0,pass
20260811_120340,3,I-02-index-on-module,on,"module=bench_m0 -p",1000,0.011299,4000,0,0,pass
20260811_120340,4,I-02-index-on-module,on,"module=bench_m0 -p",1000,0.011329,4000,0,0,pass
20260811_120340,5,I-02-index-on-module,on,"module=bench_m0 -p",1000,0.011520,4000,0,0,pass
20260811_120340,6,I-02-index-on-module,on,"module=bench_m0 -p",1000,0.012024,4000,0,0,pass
20260811_120340,7,I-02-index-on-module,on,"module=bench_m0 -p",1000,0.011276,4000,0,0,pass
20260811_120340,8,I-02-index-on-module,on,"module=bench_m0 -p",1000,0.011959,4000,0,0,pass
20260811_120340,9,I-02-index-on-module,on,"module=bench_m0 -p",1000,0.011715,4000,0,0,pass
20260811_120340,10,I-02-index-on-module,on,"module=bench_m0 -p",1000,0.011955,4000,0,0,pass
20260811_120340,1,I-02-index-off-module,off,"module=bench_m0 -p",1000,0.478893,4000,0,0,pass
20260811_120340,2,I-02-index-off-module,off,"module=bench_m0 -p",1000,0.488056,4000,0,0,pass
20260811_120340,3,I-02-index-off-module,off,"module=bench_m0 -p",1000,0.486363,4000,0,0,pass
20260811_120340,4,I-02-index-off-module,off,"module=bench_m0 -p",1000,0.494007,4000,0,0,pass
20260811_120340,5,I-02-index-off-module,off,"module=bench_m0 -p",1000,0.513805,4000,0,0,pass
20260811_120340,6,I-02-index-off-module,off,"module=bench_m0 -p",1000,0.513138,4000,0,0,pass
20260811_120340,7,I-02-index-off-module,off,"module=bench_m0 -p",1000,0.513096,4000,0,0,pass
20260811_120340,8,I-02-index-off-module,off,"module=bench_m0 -p",1000,0.514557,4000,0,0,pass
20260811_120340,9,I-02-index-off-module,off,"module=bench_m0 -p",1000,0.495125,4000,0,0,pass
20260811_120340,10,I-02-index-off-module,off,"module=bench_m0 -p",1000,0.485191,4000,0,0,pass
