run_id,round,case,index_state,selector,update_iters,elapsed_s,descriptors_recomputed,modules_repatched,sites_patched,status
20260811_115041,1,I-02-full-recompute,off,"module=bench_m0 -p",1000,0.263196,1438000,0,0,pass
20260811_115041,2,I-02-full-recompute,off,"module=bench_m0 -p",1000,0.237012,1438000,0,0,pass
20260811_115041,3,I-02-full-recompute,off,"module=bench_m0 -p",1000,0.242455,1438000,0,0,pass
20260811_115041,4,I-02-full-recompute,off,"module=bench_m0 -p",1000,0.239629,1438000,0,0,pass
20260811_115041,5,I-02-full-recompute,off,"module=bench_m0 -p",1000,0.239565,1438000,0,0,pass
20260811_115041,6,I-02-full-recompute,off,"module=bench_m0 -p",1000,0.238824,1438000,0,0,pass
20260811_115041,7,I-02-full-recompute,off,"module=bench_m0 -p",1000,0.236308,1438000,0,0,pass
20260811_115041,8,I-02-full-recompute,off,"module=bench_m0 -p",1000,0.235467,1438000,0,0,pass
20260811_115041,9,I-02-full-recompute,off,"module=bench_m0 -p",1000,0.238431,1438000,0,0,pass
20260811_115041,10,I-02-full-recompute,off,"module=bench_m0 -p",1000,0.246503,1438000,0,0,pass
20260811_115041,1,I-02-index-on-line,on,"line=19 -p",1000,0.011580,12000,0,0,pass
20260811_115041,2,I-02-index-on-line,on,"line=19 -p",1000,0.010708,12000,0,0,pass
20260811_115041,3,I-02-index-on-line,on,"line=19 -p",1000,0.011375,12000,0,0,pass
20260811_115041,4,I-02-index-on-line,on,"line=19 -p",1000,0.011162,12000,0,0,pass
20260811_115041,5,I-02-index-on-line,on,"line=19 -p",1000,0.011558,12000,0,0,pass
20260811_115041,6,I-02-index-on-line,on,"line=19 -p",1000,0.011342,12000,0,0,pass
20260811_115041,7,I-02-index-on-line,on,"line=19 -p",1000,0.010888,12000,0,0,pass
20260811_115041,8,I-02-index-on-line,on,"line=19 -p",1000,0.011465,12000,0,0,pass
20260811_115041,9,I-02-index-on-line,on,"line=19 -p",1000,0.011160,12000,0,0,pass
20260811_115041,10,I-02-index-on-line,on,"line=19 -p",1000,0.010681,12000,0,0,pass
20260811_115041,1,I-02-index-off-line,off,"line=19 -p",1000,0.095317,12000,0,0,pass
20260811_115041,2,I-02-index-off-line,off,"line=19 -p",1000,0.094903,12000,0,0,pass
20260811_115041,3,I-02-index-off-line,off,"line=19 -p",1000,0.097082,12000,0,0,pass
20260811_115041,4,I-02-index-off-line,off,"line=19 -p",1000,0.098617,12000,0,0,pass
20260811_115041,5,I-02-index-off-line,off,"line=19 -p",1000,0.095212,12000,0,0,pass
20260811_115041,6,I-02-index-off-line,off,"line=19 -p",1000,0.095898,12000,0,0,pass
20260811_115041,7,I-02-index-off-line,off,"line=19 -p",1000,0.095482,12000,0,0,pass
20260811_115041,8,I-02-index-off-line,off,"line=19 -p",1000,0.094876,12000,0,0,pass
20260811_115041,9,I-02-index-off-line,off,"line=19 -p",1000,0.095435,12000,0,0,pass
20260811_115041,10,I-02-index-off-line,off,"line=19 -p",1000,0.096817,12000,0,0,pass
20260811_115041,1,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,0.107938,1000000,0,0,pass
20260811_115041,2,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,0.109009,1000000,0,0,pass
20260811_115041,3,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,0.108724,1000000,0,0,pass
20260811_115041,4,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,0.108357,1000000,0,0,pass
20260811_115041,5,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,0.108847,1000000,0,0,pass
20260811_115041,6,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,0.109585,1000000,0,0,pass
20260811_115041,7,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,0.109786,1000000,0,0,pass
20260811_115041,8,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,0.105957,1000000,0,0,pass
20260811_115041,9,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,0.104833,1000000,0,0,pass
20260811_115041,10,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,0.103233,1000000,0,0,pass
20260811_115041,1,I-02-index-off-file,off,"file=bench_sites.rs -p",1000,0.481019,1000000,0,0,pass
20260811_115041,2,I-02-index-off-file,off,"file=bench_sites.rs -p",1000,0.490114,1000000,0,0,pass
20260811_115041,3,I-02-index-off-file,off,"file=bench_sites.rs -p",1000,0.498411,1000000,0,0,pass
20260811_115041,4,I-02-index-off-file,off,"file=bench_sites.rs -p",1000,0.498255,1000000,0,0,pass
20260811_115041,5,I-02-index-off-file,off,"file=bench_sites.rs -p",1000,0.499258,1000000,0,0,pass
20260811_115041,6,I-02-index-off-file,off,"file=bench_sites.rs -p",1000,0.496775,1000000,0,0,pass
20260811_115041,7,I-02-index-off-file,off,"file=bench_sites.rs -p",1000,0.462437,1000000,0,0,pass
20260811_115041,8,I-02-index-off-file,off,"file=bench_sites.rs -p",1000,0.475920,1000000,0,0,pass
20260811_115041,9,I-02-index-off-file,off,"file=bench_sites.rs -p",1000,0.475389,1000000,0,0,pass
20260811_115041,10,I-02-index-off-file,off,"file=bench_sites.rs -p",1000,0.479594,1000000,0,0,pass
20260811_115041,1,I-02-index-on-func,on,"func=bench_log_0 -p",1000,0.011488,2000,0,0,pass
20260811_115041,2,I-02-index-on-func,on,"func=bench_log_0 -p",1000,0.011338,2000,0,0,pass
20260811_115041,3,I-02-index-on-func,on,"func=bench_log_0 -p",1000,0.011597,2000,0,0,pass
20260811_115041,4,I-02-index-on-func,on,"func=bench_log_0 -p",1000,0.011339,2000,0,0,pass
20260811_115041,5,I-02-index-on-func,on,"func=bench_log_0 -p",1000,0.011044,2000,0,0,pass
20260811_115041,6,I-02-index-on-func,on,"func=bench_log_0 -p",1000,0.011501,2000,0,0,pass
20260811_115041,7,I-02-index-on-func,on,"func=bench_log_0 -p",1000,0.011337,2000,0,0,pass
20260811_115041,8,I-02-index-on-func,on,"func=bench_log_0 -p",1000,0.010906,2000,0,0,pass
