run_id,round,case,index_state,selector,update_iters,elapsed_s,descriptors_recomputed,modules_repatched,sites_patched,status
20260811_120950,1,I-02-full-recompute,off,"module=bench_m0 -p",1000,1.817573,10438000,0,0,pass
20260811_120950,2,I-02-full-recompute,off,"module=bench_m0 -p",1000,1.793555,10438000,0,0,pass
20260811_120950,3,I-02-full-recompute,off,"module=bench_m0 -p",1000,1.765582,10438000,0,0,pass
20260811_120950,4,I-02-full-recompute,off,"module=bench_m0 -p",1000,1.771841,10438000,0,0,pass
20260811_120950,5,I-02-full-recompute,off,"module=bench_m0 -p",1000,1.862631,10438000,0,0,pass
20260811_120950,6,I-02-full-recompute,off,"module=bench_m0 -p",1000,1.888979,10438000,0,0,pass
20260811_120950,7,I-02-full-recompute,off,"module=bench_m0 -p",1000,1.810722,10438000,0,0,pass
20260811_120950,8,I-02-full-recompute,off,"module=bench_m0 -p",1000,1.798317,10438000,0,0,pass
20260811_120950,9,I-02-full-recompute,off,"module=bench_m0 -p",1000,1.849219,10438000,0,0,pass
20260811_120950,10,I-02-full-recompute,off,"module=bench_m0 -p",1000,1.761141,10438000,0,0,pass
20260811_120950,1,I-02-index-on-line,on,"line=19 -p",1000,0.010737,12000,0,0,pass
20260811_120950,2,I-02-index-on-line,on,"line=19 -p",1000,0.010500,12000,0,0,pass
20260811_120950,3,I-02-index-on-line,on,"line=19 -p",1000,0.010532,12000,0,0,pass
20260811_120950,4,I-02-index-on-line,on,"line=19 -p",1000,0.010984,12000,0,0,pass
20260811_120950,5,I-02-index-on-line,on,"line=19 -p",1000,0.010908,12000,0,0,pass
20260811_120950,6,I-02-index-on-line,on,"line=19 -p",1000,0.010468,12000,0,0,pass
20260811_120950,7,I-02-index-on-line,on,"line=19 -p",1000,0.010544,12000,0,0,pass
20260811_120950,8,I-02-index-on-line,on,"line=19 -p",1000,0.010584,12000,0,0,pass
20260811_120950,9,I-02-index-on-line,on,"line=19 -p",1000,0.011179,12000,0,0,pass
20260811_120950,10,I-02-index-on-line,on,"line=19 -p",1000,0.010597,12000,0,0,pass
20260811_120950,1,I-02-index-off-line,off,"line=19 -p",1000,0.675234,12000,0,0,pass
20260811_120950,2,I-02-index-off-line,off,"line=19 -p",1000,0.679423,12000,0,0,pass
20260811_120950,3,I-02-index-off-line,off,"line=19 -p",1000,0.680748,12000,0,0,pass
20260811_120950,4,I-02-index-off-line,off,"line=19 -p",1000,0.692734,12000,0,0,pass
20260811_120950,5,I-02-index-off-line,off,"line=19 -p",1000,0.672091,12000,0,0,pass
20260811_120950,6,I-02-index-off-line,off,"line=19 -p",1000,0.671940,12000,0,0,pass
20260811_120950,7,I-02-index-off-line,off,"line=19 -p",1000,0.670172,12000,0,0,pass
20260811_120950,8,I-02-index-off-line,off,"line=19 -p",1000,0.677761,12000,0,0,pass
20260811_120950,9,I-02-index-off-line,off,"line=19 -p",1000,0.673979,12000,0,0,pass
20260811_120950,10,I-02-index-off-line,off,"line=19 -p",1000,0.682669,12000,0,0,pass
20260811_120950,1,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,1.208077,10000000,0,0,pass
20260811_120950,2,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,1.219712,10000000,0,0,pass
20260811_120950,3,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,1.285789,10000000,0,0,pass
20260811_120950,4,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,1.274784,10000000,0,0,pass
20260811_120950,5,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,1.232197,10000000,0,0,pass
20260811_120950,6,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,1.259555,10000000,0,0,pass
20260811_120950,7,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,1.284874,10000000,0,0,pass
20260811_120950,8,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,1.240589,10000000,0,0,pass
20260811_120950,9,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,1.205459,10000000,0,0,pass
20260811_120950,10,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,1.200119,10000000,0,0,pass
20260811_120950,1,I-02-index-off-file,off,"file=bench_sites.rs -p",1000,5.016179,10000000,0,0,pass
20260811_120950,2,I-02-index-off-file,off,"file=bench_sites.rs -p",1000,5.017726,10000000,0,0,pass
